תאריך,סכום,קטגוריה,תת-קטגוריה,תיאור,סוג,משויך לחודש,קטגוריות,סוג חיוב
7/8/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,צהריים עבודה,הוצאה,August,,ויזה 6346
29/8/2025 12:00am,₪219.00,אוכל,אוכל בחוץ,,הוצאה,September,,ויזה 6346
1/6/2025 12:00am,₪1155.00,אוכל,אוכל בחוץ,אין,הוצאה,June,,ויזה 6346
20/7/2025 12:00am,₪11.00,אוכל,אוכל בחוץ,,הוצאה,August,,ויזה 6346
23/7/2025 12:00am,₪41.00,אוכל,מזדמנים,ישיבה עם אדיר ועדי,הוצאה,August,,ויזה 6346
18/8/2025 12:00am,₪120.00,אוכל,סופר,"מתחם 22 בע""מ סופרמרקט S",הוצאה,September,,כאל 6660
1/4/2025 12:00am,₪424.00,אוכל,אוכל בחוץ,אין,הוצאה,April,,ויזה 6346
1/1/2025 12:00am,₪582.00,אוכל,אוכל בחוץ,אין,הוצאה,January,,ויזה 6346
4/9/2025 12:00am,₪9.00,אוכל,מזדמנים,,הוצאה,September,,ויזה 6346
1/3/2025 12:00am,₪846.00,אוכל,אוכל בחוץ,אין,הוצאה,March,,ויזה 6346
30/9/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,October,,ויזה 6346
1/10/2025 12:00am,₪428.00,אוכל,סופר,,הוצאה,October,,כאל 6660
5/10/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,October,,ויזה 6346
8/10/2025 12:00am,₪35.00,אוכל,מזדמנים,מאפייה רמת שרון,הוצאה,October,,ויזה 6346
8/10/2025 12:00am,₪8.00,אוכל,מזדמנים,,הוצאה,October,,ויזה 6346
9/10/2025 12:00am,₪30.00,אוכל,מזדמנים,סביח,הוצאה,October,,ויזה 6346
12/10/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,October,,ויזה 6346
10/10/2025 12:00am,₪1097.00,אוכל,סופר,סיכום הוצאות סופר ,הוצאה,October,,כאל 6660
10/10/2025 12:00am,₪1085.00,אוכל,אוכל בחוץ,סיכום אוכל בחוץ,הוצאה,October,,כאל 6660
16/10/2025 12:00am,₪10.00,אוכל,סופר,,הוצאה,November,,ויזה 6346
15/10/2025 12:00am,₪29.00,אוכל,מזדמנים,אבולעפיה,הוצאה,October,,ויזה 6346
16/10/2025 12:00am,₪78.00,אוכל,אוכל בחוץ,פלפל כדורי,הוצאה,November,,ויזה 6346
17/10/2025 12:00am,₪10.00,אוכל,מזדמנים,קפה,הוצאה,November,,ויזה 6346
22/10/2025 12:00am,₪71.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,November,,ויזה 6346
23/10/2025 12:00am,₪311.00,אוכל,מסעדות ומשלוחים,חומוס בעבודה הוחזר בביט 235 שח,הוצאה,November,,ויזה 6346
29/10/2025 12:00am,₪57.00,אוכל,אוכל בחוץ,יאשקה,הוצאה,November,,ויזה 6346
26/10/2025 1:00am,₪16.00,אוכל,מזדמנים,סופרטל ליד העבודה,הוצאה,November,,ויזה 6346
31/10/2025 12:00am,₪17.00,אוכל,מזדמנים,שושה,הוצאה,November,,ויזה 6346
1/11/2025 12:00am,₪414.00,אוכל,מסעדות ומשלוחים,מינה טומיי | חיפה,הוצאה,November,,ויזה 6346
